time 	curr	srvc	payld	bdw	NoC	InPort	target_router
36090	0	29	4	4	2	L	257
36093	256	29	4	4	2	W	512
36094	512	29	4	4	2	W	512
36095	0	29	4	4	2	L	2
36100	0	19	2	2	2	L	8192
36100	513	31	2	2	1	L	0
36099	256	29	4	4	2	W	257
36102	257	31	2	2	1	E	0
36103	1	31	2	2	1	E	0
36101	257	29	4	4	2	N	257
36105	0	31	2	2	1	S	0
36106	258	31	2	2	1	L	0
36105	1	29	4	4	2	N	2
36108	2	31	2	2	1	E	0
36106	2	29	4	4	2	N	2
36110	1	31	2	2	1	S	0
36111	0	31	2	2	1	S	0
36113	514	31	2	2	1	L	0
36115	512	31	2	2	1	L	0
36115	1	31	2	2	1	L	0
36115	258	31	2	2	1	E	0
36116	2	31	2	2	1	E	0
36117	0	31	2	2	1	S	0
36117	256	31	2	2	1	E	0
36118	0	31	2	2	1	E	0
36118	1	31	2	2	1	S	0
36120	0	31	2	2	1	S	0
36129	257	31	2	2	1	L	0
36131	1	31	2	2	1	E	0
36134	2	31	2	2	1	L	0
36124	0	24	8	13	3	W	0
36136	1	31	2	2	1	S	0
36146	0	29	4	4	2	L	0
36151	0	29	4	4	2	L	256
36133	0	31	2	23	1	S	0
36154	256	29	4	4	2	W	256
36157	0	31	2	3	1	S	0
36156	0	29	4	4	2	L	513
36160	256	29	4	4	2	W	513
36161	0	29	4	4	2	L	258
36161	512	29	4	4	2	W	513
36163	513	29	4	4	2	N	513
36166	0	29	4	4	2	L	1
36166	256	29	4	4	2	W	258
36169	0	31	2	2	1	L	0
36168	257	29	4	4	2	N	258
36169	258	29	4	4	2	N	258
36172	0	2	2	2	1	L	0
36171	0	29	4	4	2	L	512
36172	1	29	4	4	2	N	1
36175	0	2	2	2	1	L	0
36177	256	31	2	2	1	L	0
36176	0	29	4	4	2	L	514
36179	0	31	2	2	1	E	0
36180	256	2	2	2	1	L	0
36178	256	29	4	4	2	W	512
36179	512	29	4	4	2	W	512
36183	0	2	2	2	1	E	0
36181	0	29	4	4	2	L	257
36183	256	2	2	2	1	L	0
36184	256	29	4	4	2	W	514
36187	0	2	2	2	1	E	0
36185	512	29	4	4	2	W	514
36186	0	29	4	4	2	L	2
36187	513	29	4	4	2	N	514
36188	514	29	4	4	2	N	514
36191	0	19	2	2	2	L	8192
36191	513	31	2	2	1	L	0
36190	256	29	4	4	2	W	257
36193	257	31	2	2	1	E	0
36194	0	19	2	2	2	L	8192
36194	1	31	2	2	1	E	0
36192	257	29	4	4	2	N	257
36196	0	31	2	2	1	S	0
36197	258	31	2	2	1	L	0
36196	1	29	4	4	2	N	2
36199	2	31	2	2	1	E	0
36197	2	29	4	4	2	N	2
36201	1	31	2	2	1	S	0
36202	512	31	2	2	1	L	0
36204	256	31	2	2	1	E	0
36205	0	31	2	2	1	E	0
36205	512	2	2	2	1	L	0
36205	1	31	2	2	1	L	0
36208	256	2	2	2	1	E	0
36208	512	2	2	2	1	L	0
36216	514	31	2	2	1	L	0
36218	258	31	2	2	1	E	0
36219	2	31	2	2	1	E	0
36225	257	31	2	2	1	L	0
36215	0	24	8	13	3	W	0
36227	1	31	2	2	1	E	0
36230	2	31	2	2	1	L	0
36237	0	29	4	4	2	L	0
36231	0	24	8	13	3	W	0
36253	0	29	2	2	2	L	0
36202	0	31	2	57	1	S	0
36257	0	29	2	2	2	L	0
36258	0	31	2	2	1	L	0
36221	1	31	2	39	1	S	0
36209	0	2	2	53	1	E	0
36212	256	2	2	51	1	E	0
36260	0	29	4	4	2	L	256
36265	0	19	2	2	2	L	8192
36263	256	29	4	4	2	W	256
36276	0	2	2	2	1	L	0
36284	256	31	2	2	1	L	0
36291	0	2	2	2	1	L	0
36282	0	24	8	13	3	W	0
36304	0	29	2	2	2	L	256
36306	256	29	2	2	2	W	256
36260	0	31	2	50	1	S	0
36308	0	29	2	2	2	L	256
36310	256	29	2	2	2	W	256
36263	0	2	2	50	1	E	0
36311	0	29	4	4	2	L	513
36314	256	29	4	4	2	W	513
36311	0	31	2	8	1	S	0
36315	512	29	4	4	2	W	513
36316	0	29	4	4	2	L	512
36317	513	29	4	4	2	N	513
36314	0	31	2	8	1	E	0
36321	0	19	2	2	2	L	8192
36320	256	29	4	4	2	W	512
36321	512	29	4	4	2	W	512
36324	0	29	4	4	2	L	258
36329	0	19	2	2	2	L	8192
36329	256	2	2	2	1	L	0
36330	256	29	4	4	2	W	258
36332	257	29	4	4	2	N	258
36333	258	29	4	4	2	N	258
36342	512	31	2	2	1	L	0
36344	256	2	2	2	1	L	0
36344	256	31	2	2	1	E	0
36339	0	24	8	13	3	W	0
36350	513	31	2	2	1	L	0
36352	257	31	2	2	1	E	0
36353	1	31	2	2	1	E	0
36361	0	29	4	4	2	L	0
36355	0	24	8	13	3	W	0
36366	258	31	2	2	1	L	0
36368	2	31	2	2	1	E	0
36377	0	29	2	2	2	L	512
36379	256	29	2	2	2	W	512
36380	512	29	2	2	2	W	512
36320	0	31	2	63	1	S	0
36381	0	29	2	2	2	L	0
36382	0	31	2	2	1	L	0
36261	1	31	2	123	1	S	0
36331	0	2	2	55	1	E	0
36385	0	31	2	2	1	L	0
36384	0	29	4	4	2	L	1
36389	0	29	2	2	2	L	512
36387	1	29	4	4	2	N	1
36384	0	31	2	8	1	S	0
36392	0	29	2	2	2	L	0
36387	0	31	2	8	1	E	0
36393	256	29	2	2	2	W	512
36394	512	29	2	2	2	W	512
36395	0	29	4	4	2	L	257
36393	0	31	2	8	1	S	0
36385	1	31	2	17	1	S	0
36396	0	2	2	8	1	E	0
36400	0	29	4	4	2	L	256
36402	512	2	2	2	1	L	0
36401	256	29	4	4	2	W	257
36404	256	2	2	2	1	E	0
36402	0	31	2	5	1	S	0
36405	0	19	2	2	2	L	8192
36403	257	29	4	4	2	N	257
36405	0	2	2	5	1	E	0
36407	256	29	4	4	2	W	256
36408	0	29	4	4	2	L	514
36411	1	31	2	2	1	L	0
36413	0	31	2	2	1	S	0
36413	0	29	2	2	2	L	256
36416	0	19	2	2	2	L	8192
36417	256	29	4	4	2	W	514
36418	512	29	4	4	2	W	514
36419	0	29	4	4	2	L	513
36422	512	2	2	2	1	L	0
36420	513	29	4	4	2	N	514
36423	256	29	2	2	2	W	256
36421	514	29	4	4	2	N	514
36424	256	2	2	2	1	E	0
36425	0	2	2	2	1	E	0
